Worker,Time (seconds),Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Would you kill another person if your life depended on it?,Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often you remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married
A1FE99W26464IW,169,India,Male,26-30,Would,I will go to heaven or hell,Genes,Once in a while,Exercise,Bad,I do,3,Yes,Married,SmartPhone,Somewhat Obedient,Lifespan,Very Strict,Better job,Most of my time,Exactly in the middle,3,Dad,Would,Middle,Owner/master,Somewhat trustworthy,Do,More,Work,Yes,Very scary,Electronics,Yes,Mitt Romney,Less than 4 hours,By my Child/Children,Seldom,Often,Falling,Would,Yes,Yes,Yes,No,Yes,Yes,No,Looks,31-40
A1VBQ5ZJJX10NB,314,COMIBATORE,Female,21-25,Would,My spirit will return to some universal entity,Exercise,Once in a while,Exercise,Good,I do,2,Yes,Single,Computer,Very Obedient,Lifespan,Very Lenient,Better job,Some of my time,Exactly in the middle,2,Mom,Would,Youngest,Mother or father,Very untrustworthy,Do,More,Home,Yes,Very scary,Other,Yes,Barack Obama,6-8 hours,Naturally,Often,Often,Flying,Would,Yes,Yes,Yes,Yes,Yes,Yes,I don't have a pet,Personality,Under 20
A3UUTCRNGNJAP1,383,Tiruchirapalli ,Female,21-25,Would,I will go to heaven or hell,Proper diet,Sometimes,Prayer,Bad,I do,1,No,Married,Other people,Very Obedient,Immunity,Somewhat Strict,Better health,Some of my time,Somewhat optimistic,2,Dad,Would,I don't have siblings,I don't have a pet,Somewhat trustworthy,Do,Less,Home,Yes,Neither safe nor scary,Jewelry,No,Barack Obama,6-8 hours,By a Family member,Seldom,Seldom,Other,Would not,No,Yes,Yes,No,No,No,I don't have a pet,Intelligence,21-30
A1MBG9B3REVID5,372,india,Female,26-30,Would,Nothing. Game over.,Proper diet,Once in a while,Family/friends,Good,I do,2,No,Married,Computer,Very Independent,Lifespan,Exactly in the middle,Better health,Not much of my time,Somewhat pessimistic,3,Dad,Would,Middle,I don't have a pet,Somewhat trustworthy,Do,Less,Church/Temple/Mosque,Yes,Neither safe nor scary,Other,No,Barack Obama,6-8 hours,Naturally,Often,Often,Other,Would,No,No,Yes,Yes,Yes,Yes,I don't have a pet,Sexual ability,21-30
A18NN625YH4FN7,305,Chennai,Male,26-30,Would not,I will go to heaven or hell,Exercise,Never,Prayer,Bad,I do,4,No,Married,Computer,A little of both,Immunity,Somewhat Strict,Better health,Some of my time,Somewhat optimistic,3,Both about equally,Would,Oldest,Can-opener,Neither trustworthy or untrustworthy,Do,The same,Home,Yes,Neither safe nor scary,Money,No,Barack Obama,6-8 hours,By a Family member,Seldom,Seldom,Being unprepared for something,Would not,No,No,Yes,Yes,No,No,No,Nothing,21-30
A2M3IL04Z350XO,437,Kozhikode kerala india,Male,21-25,Would,Nothing. Game over.,Proper diet,Once in a while,Prayer,Bad,I do not,3,No,Single,Computer,Somewhat Obedient,Intelligence,Exactly in the middle,Better health,Not much of my time,Exactly in the middle,2,Mom,Would,Youngest,I don't have a pet,Neither trustworthy or untrustworthy,Do not,Less,Home,Yes,Somewhat safe,Other,No,Barack Obama,4-6 hours,By a Family member,Seldom,Seldom,Being unprepared for something,Would not,No,No,Yes,No,No,Yes,I don't have a pet,Nothing,I'm not married
A296H56988KB13,381,Kochi,Female,26-30,Would,I will go to heaven or hell,Exercise,Sometimes,Music/Art,Bad,I do,3,No,Married,Newspapers/Magazines,Somewhat Obedient,Nothing,Exactly in the middle,Better job,Some of my time,Exactly in the middle,3,Both about equally,Would,Middle,I don't have a pet,Somewhat trustworthy,Do,More,Home,Yes,Somewhat safe,Other,No,Barack Obama,6-8 hours,Naturally,Seldom,Often,Being chased,Would not,No,No,No,No,No,Yes,I don't have a pet,Nothing,21-30
AE2MYTO24LRIC,139,Chennai,Male,26-30,Would,I will be reincarnated,Proper diet,Sometimes,Work,Good,I do,3,Yes,Single,SmartPhone,Somewhat Obedient,Lifespan,Somewhat Strict,Better health,All my time,Somewhat optimistic,3,Both about equally,Would,Middle,Mother or father,Somewhat untrustworthy,Do,Less,School,Yes,Somewhat scary,Photo album,Yes,Barack Obama,4-6 hours,From a Rooster,Seldom,Seldom,Being naked in public,Would,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Intelligence,21-30
A3O36IDQZ1JOO1,433,Coimbatore,Female,21-25,Would,My spirit will return to some universal entity,Exercise,Constantly,Music/Art,Good,I do,3,Yes,Single,TV,Very Obedient,Lifespan,Very Strict,Better health,Some of my time,Exactly in the middle,3,Mom,Would,Middle,Mother or father,Somewhat untrustworthy,Do,More,Church/Temple/Mosque,Yes,Somewhat scary,Photo album,No,Barack Obama,6-8 hours,Naturally,Seldom,Seldom,Being chased,Would not,Yes,Yes,Yes,No,Yes,Yes,No,Intelligence,21-30
A1GN2C46EM6MFZ,560,Thiruvananthapuram,Male,31-35,Would,I will go to heaven or hell,Exercise,Sometimes,Music/Art,Bad,I do,2,No,Married,Computer,A little of both,Intelligence,Exactly in the middle,Nothing - I'm all good,Some of my time,Exactly in the middle,3,Dad,Would,I don't have siblings,I don't have a pet,Somewhat trustworthy,Do,More,Home,Yes,Somewhat safe,Other,No,Barack Obama,6-8 hours,Naturally,Seldom,Seldom,Being naked in public,Would not,No,Yes,Yes,No,No,Yes,I don't have a pet,Nothing,21-30
A2E4N3OUUZ9VG3,187,Kochi,Male,21-25,Would not,I will be reincarnated,Proper diet,Constantly,Exercise,Good,I do not,3,No,Single,Computer,Somewhat Independent,Lifespan,Somewhat Strict,Better job,Some of my time,Somewhat pessimistic,1,Dad,Would,Youngest,Playmate,Neither trustworthy or untrustworthy,Do,More,Work,Yes,Neither safe nor scary,Photo album,Yes,Barack Obama,6-8 hours,By my Child/Children,Seldom,Never,Flying,Would,No,No,Yes,No,Yes,Yes,I don't have a pet,Personality,I'm not married
A36M7PW7TQMMTF,588,Jaipur,Male,21-25,Would,My spirit will return to some universal entity,Environment,Sometimes,Music/Art,Bad,I do,2,No,Single,Computer,Somewhat Obedient,Intelligence,Exactly in the middle,More Money,Most of my time,Exactly in the middle,2,Dad,Would,Youngest,Owner/master,Neither trustworthy or untrustworthy,Do,More,Work,No,Neither safe nor scary,Money,No,Barack Obama,6-8 hours,Naturally,Seldom,Seldom,Other,Would not,No,No,Yes,No,Yes,No,I don't have a pet,Personality,21-30
A2HMG52UDMFBXA,366,Madurai,Female,31-35,Would,I will go to heaven or hell,Exercise,Sometimes,Music/Art,Bad,I do,3,Yes,Married,SmartPhone,Somewhat Independent,Lifespan,Exactly in the middle,Better job,Some of my time,Exactly in the middle,2,Both about equally,Would,Middle,Mother or father,Somewhat trustworthy,Do,More,Work,Yes,Somewhat safe,Jewelry,Yes,Barack Obama,More than 8 hours,With an Alarm clock,Seldom,Seldom,Being unprepared for something,Would,No,No,Yes,Yes,No,Yes,Yes,Personality,31-40
A263CRI673K4QG,307,Chennai ,Male,26-30,Would,Nothing. Game over.,Exercise,Once in a while,Exercise,Bad,I do,2,No,Single,Computer,A little of both,Lifespan,Somewhat Lenient,Better job,Most of my time,Exactly in the middle,2,Mom,Would,Youngest,I don't have a pet,Somewhat untrustworthy,Do,Less,I don't feel completely safe anywhere,Yes,Neither safe nor scary,Money,No,Barack Obama,4-6 hours,Naturally,Never,Seldom,Being unprepared for something,Would not,No,Yes,Yes,No,Yes,Yes,I don't have a pet,Personality,I'm not married
A1GCOVZ8N0VG8W,524,"Hyderabad, INDIA",Female,36-40,Would not,Nothing. Game over.,Exercise,Once in a while,Family/friends,Bad,I do,3,No,Married,TV,Very Obedient,Nothing,Very Lenient,Nothing - I'm all good,Some of my time,Exactly in the middle,3,Mom,Would,Middle,I don't have a pet,Somewhat untrustworthy,Do not,The same,Home,Yes,Very safe,Jewelry,No,Barack Obama,6-8 hours,Naturally,Seldom,Seldom,Being unprepared for something,Would not,No,Yes,Yes,No,No,Yes,I don't have a pet,Nothing,21-30
A7BJD9T7UZT9G,244,Kochi,Male,21-25,Would,I will go to heaven or hell,Proper diet,Constantly,Exercise,Bad,I do,2,No,Single,Newspapers/Magazines,Somewhat Obedient,Intelligence,Exactly in the middle,Better job,Some of my time,Somewhat optimistic,2,Dad,Would,Oldest,I don't have a pet,Somewhat untrustworthy,Do,More,Home,Yes,Very safe,Other,Yes,Mitt Romney,6-8 hours,Naturally,Seldom,Never,Other,Would not,No,No,Yes,No,No,Yes,I don't have a pet,Intelligence,21-30
AMMD3ZNER21A3,302,Coimbatore/tamil nadu india,Female,41-45,Would,I will go to heaven or hell,Proper diet,Constantly,Work,Bad,I do not,3,Yes,Married,Computer,Very Obedient,Intelligence,Somewhat Strict,More Money,Some of my time,Exactly in the middle,2,Both about equally,Would,Oldest,Owner/master,Somewhat untrustworthy,Do not,The same,Home,Yes,Very safe,Money,No,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Seldom,Being unprepared for something,Would not,No,Yes,Yes,No,No,Yes,I don't have a pet,Intelligence,21-30
A5RO4R3JSJ6JN,632,Karur,Male,41-45,Would,I will go to heaven or hell,Proper diet,Sometimes,Family/friends,Bad,I do,3,No,Married,Computer,A little of both,Intelligence,Somewhat Lenient,Nothing - I'm all good,Not much of my time,Somewhat optimistic,3,Dad,Would,Oldest,I don't have a pet,Neither trustworthy or untrustworthy,Do,The same,I don't feel completely safe anywhere,Yes,Very safe,Jewelry,No,Barack Obama,6-8 hours,By a Family member,Seldom,Seldom,Other,Would not,No,Yes,Yes,No,No,Yes,I don't have a pet,Nothing,21-30
AVJKL7Q5HQW9R,639,Madurai,Male,21-25,Would,Nothing. Game over.,Exercise,Sometimes,Music/Art,Bad,I do,2,No,Single,Computer,A little of both,Immunity,Exactly in the middle,Nothing - I'm all good,Not much of my time,Exactly in the middle,2,Mom,Would,Middle,I don't have a pet,Neither trustworthy or untrustworthy,Do,More,Home,Yes,Somewhat safe,Electronics,No,Mitt Romney,6-8 hours,Naturally,Seldom,Seldom,Other,Would not,No,No,No,Yes,No,Yes,I don't have a pet,Nothing,I'm not married
A3NIY31X56M0JD,446,ANANTAPUR ANDHRAPRADESH/INDIA,Female,21-25,Would not,My spirit will return to some universal entity,Environment,Once in a while,Music/Art,Bad,I do,3,Yes,Single,TV,Somewhat Obedient,Intelligence,Somewhat Strict,Better job,Some of my time,Exactly in the middle,2,Mom,Would,Youngest,Playmate,Somewhat untrustworthy,Do,The same,Home,Yes,Neither safe nor scary,Jewelry,No,Barack Obama,4-6 hours,Naturally,Never,Seldom,Falling,Would,No,No,No,No,No,Yes,No,Nothing,I'm not married
A1FOTRH3UJMKTS,611,Madurai,Male,26-30,Would,Nothing. Game over.,Exercise,Sometimes,Music/Art,Bad,I do,2,No,Single,Computer,Somewhat Obedient,Intelligence,Somewhat Strict,More Money,Most of my time,Exactly in the middle,2,Dad,Would,Oldest,I don't have a pet,Neither trustworthy or untrustworthy,Do not,More,I don't feel completely safe anywhere,Yes,Somewhat safe,Money,Yes,Barack Obama,Less than 4 hours,Naturally,Seldom,Often,Being unprepared for something,Would not,No,Yes,Yes,Yes,Yes,Yes,I don't have a pet,Nothing,I'm not married
A2JQA322G5JDAC,404,Anakaputhur,Male,26-30,Would,I will be reincarnated,Proper diet,Constantly,Work,Bad,I do,3,No,Single,Newspapers/Magazines,Very Obedient,Intelligence,Exactly in the middle,Better job,Not much of my time,Somewhat pessimistic,1,Dad,Would,Oldest,Playmate,Very untrustworthy,Do,More,Home,Yes,Very safe,Electronics,No,Barack Obama,6-8 hours,Naturally,Often,Often,Other,Would,No,Yes,No,No,No,Yes,I don't have a pet,Intelligence,21-30
A5FCC1J85ILLJ,540,Kottayam,Male,21-25,Would,I will go to heaven or hell,Exercise,Constantly,Work,Bad,I do,3,Yes,Single,Computer,Somewhat Obedient,Intelligence,Exactly in the middle,Better health,Some of my time,Exactly in the middle,2,Dad,Would,I don't have siblings,Playmate,Very untrustworthy,Do,The same,Home,Yes,Neither safe nor scary,Other,No,Barack Obama,4-6 hours,By a Family member,Seldom,Never,Being chased,Would,No,No,No,No,No,Yes,I don't have a pet,Sexual ability,21-30
A3D2E3TE845F0K,763,Taliparamba,Female,31-35,Would not,Nothing. Game over.,Exercise,Constantly,Family/friends,Bad,I do,3,No,Married,Computer,Very Independent,Intelligence,Somewhat Strict,Better job,Not much of my time,Very optimistic,4,Both about equally,Would,Oldest,I don't have a pet,Somewhat trustworthy,Do,More,Home,Yes,Very safe,Other,No,Barack Obama,6-8 hours,Naturally,Seldom,Never,Other,Would not,No,No,No,No,No,Yes,I don't have a pet,Nothing,21-30
A2VM7CXPB0M1JO,971,Bangalore,Male,31-35,Would,Nothing. Game over.,Exercise,Constantly,Music/Art,Bad,I do not,3,No,Single,Computer,Somewhat Independent,Intelligence,Somewhat Lenient,Better health,Not much of my time,Somewhat pessimistic,2,Mom,Would,Youngest,Mother or father,Somewhat untrustworthy,Do not,Less,Home,Yes,Very safe,Money,No,Barack Obama,4-6 hours,Naturally,Seldom,Never,Other,Would not,No,No,Yes,Yes,No,Yes,Yes,Nothing,I'm not married
A34XI67018IK8,464,Bangalore,Female,21-25,Would,My spirit will return to some universal entity,Exercise,Constantly,Music/Art,Bad,I do,2,No,Married,Computer,A little of both,Immunity,Somewhat Lenient,Better health,Some of my time,Very optimistic,3,Both about equally,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do,More,Home,Yes,Very safe,Money,No,Barack Obama,6-8 hours,With an Alarm clock,Seldom,Seldom,Falling,Would,No,Yes,No,No,No,Yes,I don't have a pet,Nothing,21-30
ARX78WUC6UXWB,413,Kollam district kerala india,Female,46-50,Would not,I will go to heaven or hell,Proper diet,Sometimes,Music/Art,Bad,I do,2,No,Married,Newspapers/Magazines,Very Obedient,Immunity,Very Strict,Better health,Most of my time,Very optimistic,3,Both about equally,Would,Youngest,I don't have a pet,Very trustworthy,Do,More,Home,Yes,Very safe,Jewelry,No,Barack Obama,4-6 hours,Naturally,Seldom,Seldom,Falling,Would not,No,Yes,No,No,No,Yes,I don't have a pet,Looks,21-30
AS5VLNNF74CRY,475,Mumbai Maharashtra India,Female,36-40,Would not,I will go to heaven or hell,Proper diet,Never,Music/Art,Bad,I do,2,No,Married,TV,A little of both,Immunity,Somewhat Strict,More Money,Some of my time,Somewhat pessimistic,2,Mom,Would,Youngest,I don't have a pet,Somewhat untrustworthy,Do,The same,Home,Yes,Very safe,Photo album,No,Barack Obama,6-8 hours,Naturally,Often,Seldom,Being unprepared for something,Would not,No,No,No,No,No,Yes,I don't have a pet,Nothing,21-30
