Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often your remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married,lat,lon
Atlanta Georgia United States,male,35,would not,My spirit will return home,Genes,Sometimes,Family/Friends,good,Do not,4,did not,Married,SmartPhone,Obedient,Immunity,Strict,More money,2,Optimistic,1,Dad,would,Youngest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do not,Other,Mitt Romney,9,Alarm clock,Never,Never,Other,Would not,Have not,Do not,have,would,is not,is,Yes,Sexual ability,26,,
Antioquia Colombia,male,44,would,Nothing. Game over.,Exercise,At times,Family/Friends,bad,Do,2,did not,Married,Tablet,Obedient,Immunity,Strict,More money,3,Optimistic,3,Neither,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,6,Naturally,Seldom,Often,Other,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,20,,
,male,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,I will be reincarnated,,Constantly,Prayer,,,,did,Married,SmartPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater London United Kingdom,male,49,would,I will go to heaven or hell,Proper diet,Never,Family/Friends,good,Do,1,did not,Married,SmartPhone,Obedient,Intelligence,Strict,More money,0,Optimistic,2,Both about equally,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Money,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have,would,is not,is,Yes,Nothing,27,,
,male,22,would,Nothing. Game over.,Proper diet,At times,Exercise,good,Do,2,did,Single,Computer,Obedient,Intelligence,Strict,More free time,3,Optimistic,2,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Often,Often,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Looks,0,,
St. Petersburg,female,24,would not,Nothing. Game over.,Exercise,At times,Alcohol/Drugs,good,Do,2,did,Single,Other people,Obedient,Appearance,Strict,Better romance,12,Optimistic,1,Mom,would,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,Work,Safe,Do not,Electronics,Barack Obama,9,Alarm clock,Never,Seldom,Other,Would not,Have not,Do,have,would not,is not,is not,No,Personality,0,,
Draper Utah United States,male,27,would,I will go to heaven or hell,Environment,Never,Family/Friends,good,Do,2,did,Married,Computer,Obedient,Intelligence,Strict,More free time,2,Optimistic,1,Mom,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,7,Alarm clock,Seldom,Never,Flying,Would,Have not,Do not,have,would,is not,is,No,Nothing,23,,
Tamil Nadu India,male,29,would,Nothing. Game over.,Exercise,Constantly,Family/Friends,bad,,2,did,Married,SmartPhone,Obedient,Intelligence,Strict,More money,10,Optimistic,2,Mom,would not,I don't have any siblings,Playmate,,,,,,,,,,,,,,,,,,,,,,,,,
Camas Washington United States,male,19,would,Nothing. Game over.,Proper diet,At times,Alcohol/Drugs,good,Do,1,did,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,Better job,3,Optimistic,2,Both about equally,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,6,Alarm clock,Never,Seldom,Being chased,Would,Have not,Do not,have,would,is not,is not,Yes,Nothing,0,,
Albuquerque,male,40,would,I will go to heaven or hell,Religion,Sometimes,Prayer,good,Do,0,did,Married,Tablet,Obedient,Nothing,Strict,More free time,0,Optimistic,20,Dad,would,Youngest,Owner,Untrustworthy,Do,More,Place of worship,Safe,Do,Other,Mitt Romney,8,Family member,Often,Often,Other,Would not,Have not,Do not,have,would not,is not,is not,No,Nothing,27,,
Alovera Castilla-La Mancha Espa�,male,35,would,Nothing. Game over.,Proper diet,Sometimes,Alcohol/Drugs,bad,Do,2,did,Cohabitating,SmartPhone,,Lifespan,,More money,9,,1,Mom,would not,I don't have any siblings,Mom or Dad,,Do,,Home,,Do not,Money,Barack Obama,8,Alarm clock,Never,Seldom,Flying,Would not,Have not,Do not,have,would,is not,is,Yes,Personality,0,,
Birmingham,male,32,would not,Nothing. Game over.,Exercise,At times,Work,bad,Do,3,did not,Single,Computer,Obedient,Immunity,Strict,Better romance,10,Optimistic,1,Mom,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Work,Safe,Do,Electronics,Barack Obama,6,Pet,Seldom,Often,Other,Would not,Have not,Do not,have not,would,is not,is,No,All of the above,99,,
San Carlos California United States,male,36,would,I will go to heaven or hell,Exercise,Sometimes,Exercise,bad,Do,1,did not,Married,Computer,,Intelligence,,More free time,1,,2,Both about equally,would,Middle,I don't have a pet,,Do,,Home,,Do,Photo albums,Mitt Romney,6,Child/Children,Seldom,Seldom,Being unprepared,Would,Have not,Do not,have not,would not,is not,is,Yes,Nothing,22,,
Leonberg Baden-W�rttemberg Deutschland,male,45,would not,Nothing. Game over.,Environment,At times,Family/Friends,good,Do,2,did,Divorced,Tablet,Obedient,Nothing,Strict,More free time,1,Optimistic,2,Dad,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would not,Have,Do not,have,would,is not,is,Yes,Nothing,34,,
